Timestamp,Server Name,User CPU Time,System CPU Time,CPU Usage (%),RSS Memory,Heap Total Memory,Heap Used Memory,Free Memory,Total Memory,Uptime(s) ,Method,noOfRequests 
2024-12-23T18:44:53.697Z,Server 2,359.00,156.00,0.78,37289984,8556544,7257968,2019147776,8508420096,226703.19,GET,3
2024-12-23T18:45:12.520Z,Server1,359.00,171.00,0.80,36671488,8032256,7284440,2012467200,8508420096,226722.00,GET,1
2024-12-23T18:45:14.961Z,Server 2,359.00,156.00,0.78,37355520,8556544,7300760,2013028352,8508420096,226724.45,GET,1
2024-12-23T18:45:16.336Z,Server1,359.00,171.00,0.80,36732928,8294400,7579616,2019581952,8508420096,226725.81,GET,2
2024-12-23T18:45:16.928Z,Server 2,359.00,156.00,0.78,37416960,8556544,7338408,2013499392,8508420096,226726.41,GET,2
2024-12-23T18:45:17.437Z,Server1,359.00,171.00,0.80,36782080,8294400,7620160,2025672704,8508420096,226726.91,GET,3
2024-12-23T18:45:19.614Z,Server 2,359.00,156.00,0.78,37478400,8556544,7375376,2007482368,8508420096,226729.11,GET,3
